4.249999999999999611e-02 4.788245683641995099e-01
6.750000000000000444e-02 5.093006959596120264e-01
9.249999999999999889e-02 5.160989087316899537e-01
1.175000000000000072e-01 5.066179558243050218e-01
1.425000000000000155e-01 4.921705199098270200e-01
1.675000000000000100e-01 4.736978570883855766e-01
1.925000000000000044e-01 4.816736792893875907e-01
2.175000000000000266e-01 5.202644550504654797e-01
2.424999999999999933e-01 5.914092784794298119e-01
2.675000000000000155e-01 6.590365050867743602e-01
2.925000000000000377e-01 6.955651370495842256e-01
3.175000000000000600e-01 7.105048305891957794e-01
