4.249999999999999611e-02 3.434158264589062259e-01
6.750000000000000444e-02 3.689839572192513129e-01
9.249999999999999889e-02 3.415470991890205976e-01
1.175000000000000072e-01 4.041833282067056055e-01
1.425000000000000155e-01 4.117596195417206895e-01
1.675000000000000100e-01 4.042321315048587604e-01
1.925000000000000044e-01 4.176512894277201182e-01
2.175000000000000266e-01 4.048076923076923128e-01
2.424999999999999933e-01 4.192959149784125095e-01
2.675000000000000155e-01 4.459396751740138942e-01
2.925000000000000377e-01 4.302556465624224336e-01
3.175000000000000600e-01 4.181758851362375462e-01
